company_name,industry,new_workers,ranking
"Nearshore Technology","IT System Development",168,316
DigitalOnUS,"IT System Development",167,317
"T. Parker Host","Logistics & Transportation",167,317
Certent,Software,167,317
"The DeWinter Group","Human Resources",167,317
Techolution,"IT System Development",166,318
U.Group,"IT System Development",166,318
"D'Aprile Properties","Real Estate",166,318
"Texan Allergy and Sinus Center",Health,165,319
"Parsons Xtreme Golf","Consumer Products & Services",164,320
"Wavicle Data Solutions","IT System Development",164,320
"Trash Butler","Environmental Services",164,320
"Cognitus Consulting","IT System Development",164,320
Turo,"Travel & Hospitality",163,321
"Abstrakt Marketing Group","Advertising & Marketing",163,321
"Bayone Solutions","IT Management",163,321
"Stream Companies","Advertising & Marketing",163,321
"Trinity Logistics USA","Logistics & Transportation",162,322
ALKU,"Business Products & Services",162,322
"Deep Well Services",Energy,162,322
"Cynet Systems","IT Management",162,322
nLogic,"Government Services",161,323
Passport,Software,160,324
A-Lign,"Business Products & Services",160,324
Yamibuy,Retail,160,324
"2nd Family",Health,160,324
"The Ranger Group","Human Resources",160,324
"A Head For Profits","Business Products & Services",160,324
"Capitol Home Health",Health,160,324
"Intercontinental Capital Group","Financial Services",160,324
Movoto,"Real Estate",160,324
"Applied Imaging","Business Products & Services",160,324
"Timmons Group",Engineering,160,324
"Real Restoration Group",Construction,160,324
"HealthFlex Home Health Services",Health,159,325
OrthoFi,Software,159,325
"Tin Roof Software",Software,159,325
"G Adventures","Travel & Hospitality",159,325
"Argent Financial Group","Financial Services",159,325
LendingPoint,"Financial Services",158,326
"Culmen International","Government Services",158,326
"Ascii Group","IT Services",158,326
"Fusion Medical Staffing",Health,157,327
"Impact Analytics","Business Products & Services",155,328
LeaseAccelerator,"Financial Services",155,328
"Steward Partners Global Advisory","Financial Services",155,328
"RWD Consulting","Government Services",155,328
"Done Right Merchandising",Retail,155,328
"Pioneer Bank","Financial Services",155,328
"Homestar Financial","Financial Services",155,328
"Clarion Security",Security,155,328
"West Creek Financial","Financial Services",154,329
"Azure Knowledge","Business Products & Services",153,330
"Pensionmark Financial Group","Financial Services",153,330
"Tek Leaders","IT Management",153,330
"Five Doors Network","Real Estate",153,330
"Star Building Services","Business Products & Services",153,330
"ITA International","Government Services",152,331
Cloudbeds,Software,151,332
"Audley Travel","Travel & Hospitality",151,332
"Vandelay Education",Education,151,332
"Avanath Capital Management","Real Estate",151,332
"Pelican Waste & Debris","Environmental Services",150,333
"Wellflex Energy Solutions",Energy,150,333
Base4,Engineering,150,333
"Capstone Fire & Safety","Business Products & Services",150,333
"Pless Security Incorporated",Security,150,333
"Fortis Construction",Construction,150,333
"Excella Consulting","IT System Development",150,333
"Busch Global","Business Products & Services",150,333
Asurint,"Business Products & Services",150,333
"Jonathan's Grille","Food & Beverage",150,333
"Silicus Technologies","IT System Development",150,333
"Choura Events","Business Products & Services",150,333
Acquia,Software,150,333
Flywheel,"IT Management",148,334
"Venture REI","Real Estate",148,334
DEG,"Advertising & Marketing",148,334
"Ob Hospitalist Group",Health,148,334
"Sauce Labs",Software,147,335
NexDine,"Food & Beverage",147,335
"American Specialty Health",Health,147,335
"OnSite Fleet","Logistics & Transportation",146,336
"Black Mountain Systems",Software,146,336
Copper,Software,145,337
TripleLift,"Advertising & Marketing",145,337
Intellectsoft,"IT System Development",145,337
"Scotlynn USA Division","Logistics & Transportation",145,337
"Alpha Omega Integration","Government Services",144,338
"Capital Title of Texas","Real Estate",144,338
"Access Physical Therapy",Health,144,338
"Intelligent Waves","IT System Development",143,339
"J.W. Logistics","Logistics & Transportation",143,339
"CollabraLink Technologies","Government Services",143,339
"Precise Systems","Government Services",143,339
Indev,"Government Services",142,340
"F3 MFG",Manufacturing,142,340
"Century Support Services","Financial Services",142,340
"Saxon Global","IT System Development",142,340
Terminus,Software,141,341
Strativia,"Government Services",141,341
"Hayes Healthcare",Health,141,341
"World Insurance Associates",Insurance,141,341
"ASP-America's Swimming Pool Company","Consumer Products & Services",141,341
"Highlands Residential Mortgage","Financial Services",141,341
"Draken International","Government Services",140,342
"Fresh Consulting","Business Products & Services",140,342
"Medical Guardian",Health,140,342
"Kobie Marketing","Advertising & Marketing",140,342
WesternTechSystems,"Computer Hardware",140,342
"Tundraland Home Improvements",Construction,140,342
"Stevens Trucking","Logistics & Transportation",140,342
CheckAlt,"Financial Services",140,342
"First Centennial Mortgage","Financial Services",140,342
"Bankers Healthcare Group","Financial Services",140,342
HHAeXchange,Health,139,343
"Drexel Building Supply",Construction,139,343
"PANTHERX Rare",Health,138,344
Acorio,"Business Products & Services",138,344
"Xtenfer Consulting","Business Products & Services",138,344
Onit,Software,137,345
"Healthy Spot",Retail,137,345
Sifted,"Food & Beverage",136,346
"Mark Spain Real Estate","Real Estate",136,346
McClure,Engineering,136,346
SageRider,Energy,136,346
"QuickBox Fulfillment","Logistics & Transportation",135,347
Broadleaf,"Government Services",135,347
"Peridot Solutions","Business Products & Services",135,347
"Silotech Group","Government Services",135,347
"MegaCorp Logistics","Logistics & Transportation",135,347
"Dogtopia Enterprises","Consumer Products & Services",135,347
"WatchGuard Video",Manufacturing,135,347
CallRail,Software,134,348
ACTenviro,Construction,134,348
Sawtst,"Government Services",133,349
EnableComp,Insurance,133,349
CivicPlus,"Government Services",133,349
"Sunrise Erectors",Construction,132,350
"OPS Security Group",Security,131,351
Confirmation.com,"Financial Services",131,351
"Corbett Technology Solutions",Telecommunications,131,351
"G&A Partners","Human Resources",131,351
Beemac,"Logistics & Transportation",130,352
Bestica,"IT Management",130,352
"EGen Solutions","IT System Development",130,352
"Healthcare IT Leaders",Health,130,352
"Morgan Li",Manufacturing,130,352
"Fors Marsh Group","Government Services",130,352
"Unlimited Landscaping & Turf Management","Environmental Services",130,352
Incapsulate,"IT Management",130,352
Portables,Retail,130,352
Spectrio,"Advertising & Marketing",130,352
TalentLaunch,"Human Resources",130,352
"TechStar Group","IT System Development",130,352
TerraCycle,"Environmental Services",130,352
"Homeside Financial","Financial Services",130,352
SnackNation,"Food & Beverage",129,353
"B3 Group","Government Services",128,354
Levvel,"IT System Development",128,354
"NetImpact Strategies","Government Services",128,354
"Inside Ventures","Advertising & Marketing",128,354
"Tom Ferry","Business Products & Services",128,354
TACG,"Government Services",128,354
"KRG Technologies","IT Management",128,354
"Invictus International Consulting","Government Services",127,355
"Bolton Remote","Business Products & Services",127,355
"Hire Dynamics","Human Resources",127,355
"Mohawk Group Holdings","Consumer Products & Services",126,356
"Directional Services",Energy,126,356
"A1 Garage Door Service and Repair","Consumer Products & Services",126,356
"Blue Chip Talent","Human Resources",126,356
Averhealth,Health,126,356
"Synergen Health",Health,126,356
Sonendo,Health,125,357
"Hardcore Fitness Boot Camp",Health,125,357
"Lief Labs",Health,125,357
"Northwest Healthcare",Health,125,357
ISG,Engineering,125,357
"Goken America",Engineering,125,357
"Group Management Services","Human Resources",125,357
Senior1Care,Health,125,357
"Jacaruso Enterprises","Travel & Hospitality",123,358
"SRT Group","Government Services",123,358
"Freight Hub Group","Logistics & Transportation",123,358
"Milo's Tea Company","Food & Beverage",123,358
"ARG - AgentHR Recruiting Group","Human Resources",123,358
"Strategic Alliance Business Group","Government Services",121,359
"Knewsales Group","Advertising & Marketing",121,359
Thrive,Engineering,121,359
"Affiliated Communications dba Alert Communications","Business Products & Services",121,359
Oxagile,Software,121,359
"Ameex Technologies",Software,121,359
